,EG.ELC.ACCS.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.ZS,ER.H2O.FWTL.ZS,MS.MIL.TOTL.TF.ZS,FB.ATM.TOTL.P5,FB.CBK.BRWR.P3,DT.DOD.ALLC.ZS,per_allsp.cov_pop_tot,FB.CBK.DPTR.P3,SE.COM.DURS,EG.ELC.HYRO.ZS,EG.ELC.FOSL.ZS,EG.IMP.CONS.ZS,BN.KLT.DINV.CD,BM.KLT.DINV.WD.GD.ZS,AG.LND.FRST.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,NV.IND.TOTL.ZS,DT.INT.DECT.GN.ZS,IT.NET.USER.P2,NV.IND.MANF.ZS,CM.MKT.LCAP.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,GC.FIN.FRGN.GD.ZS,DT.ODA.ODAT.GI.ZS,BN.GSR.MRCH.CD,EN.ATM.GHGO.ZG,BX.TRF.PWKR.DT.GD.ZS,EN.POP.DNST,DT.DOD.PVLX.GN.ZS,EG.ELC.RNEW.ZS,NV.SRV.TETC.ZS,DT.DOD.DSTC.IR.ZS,GC.REV.SOCL.ZS,CM.MKT.TRAD.GD.ZS,GC.TAX.EXPT.ZS,GC.TAX.GSRV.RV.ZS,NE.TRD.GNFS.ZS,BG.GSR.NFSV.GD.ZS,BM.GSR.TRVL.ZS,AG.LND.EL5M.UR.ZS,SE.ADT.1524.LT.ZS,country_code,GDPdelta,GDPpercentgrowth,country_name,region_East Asia & Pacific,region_Europe & Central Asia,region_Latin America & Caribbean,region_Middle East & North Africa,region_North America,region_South Asia,region_Sub-Saharan Africa,region,growthInd
191,0.0,40.5612523802,2.24713373829,24.0815789474,1.63288969159,185.446964213,396.484636148,0.0,0.0,0.0,9.0,17.7371961408,64.8034404104,81.1113780389,-647331133.019,2.35641460404,35.6442599364,2.4864089181e+11,2.38503158411e+11,23553.2129668,23.4052802703,0.0,44.83,13.4570116654,40.5518616624,1.89513763171,124.023781176,4.12706754236,0.0,-29358389352.7,1116.61319418,0.247953716848,115.358556989,0.0,34.5799367757,74.3475859914,0.0,31.0937038476,34.8498448592,0.0,31.3676046557,67.5662284108,15.3328783729,28.2707833756,0.0,0.0,PRT,-9337776026.49,-3.88141616181,Portugal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,-1
192,0.0,52.4095981206,21.2295734905,0.0,0.905416903255,12.5486618265,74.933493496,9.0617,42.0920483993,82.4676579501,9.0,100.0,0.0,-64.8548146506,-168566666.667,-0.236495841761,44.1983387868,16076314508.3,17831585315.7,2657.25655124,31.1539385644,1.05367060942,14.7933333333,12.5459685779,0.0,1.02678061149,86.0060412342,-0.222944857117,5.35739592037,1152146003.73,44.382389555,2.26620036591,15.2203523786,0.0,100.0,47.6164879451,30.7088213284,16.8933414805,0.0,0.0,37.9481200017,101.121198158,6.71399120973,22.9656489801,0.0,98.4186630249,PRY,2929832872.61,16.8961324345,Paraguay,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0
195,0.0,12.2495446266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14174681.1138,0.0,39.6174863388,0.0,0.0,0.0,0.0,0.0,35.6866666667,0.0,0.0,0.0,72.2713784953,0.0,0.0,-1693957476.24,-100.0,0.0,71.8260473588,0.0,30.4405798701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.697908799,0.0,0.0,PYF,0.0,0.0,French Polynesia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,-1
196,0.0,5.73873097904,0.119303132722,792.857142857,1.21973231768,50.203307147,336.063623927,0.0,0.0,658.504127407,9.0,0.0,100.0,-461.147539703,0.0,4.31125739106,0.0,97593498168.5,92498799997.1,70688.822862,67.1705369983,0.0,44.8,9.78667664876,93.1032054562,1.98751471919,113.15643729,0.0,0.0,0.0,-144.444444444,0.0,119.410508183,0.0,0.0,32.710159869,0.0,0.0,35.084214667,0.0,0.0,88.5637034458,0.0,0.0,0.0,97.5021107992,QAT,44155657632.5,55.5963743002,Qatar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Middle East & North Africa,1
197,0.0,59.2665215097,6.02356724711,16.2435110901,1.57288677757,50.3284294272,241.47187017,2.2744,82.7931079734,0.0,10.0,26.4209371626,56.8209337206,25.3027333094,-9138664887.34,0.182242337621,28.1165237289,1.82380420609e+11,1.73197973734e+11,8856.92242211,25.9018977582,1.88819575216,32.44,21.7284893135,10.9828793148,1.43015083133,106.202367067,1.6778749286,0.0,-24625137864.6,-61.9786301724,0.72408198111,89.5680548047,0.0,26.4673259829,68.0745349946,57.8893058165,32.080743099,1.06618138223,0.0,34.1885332591,66.9551421262,13.2851374608,16.3713887919,0.0,0.0,ROM,1510535101.17,0.899044491329,Romania,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,-1
198,0.0,13.1566767523,4.4998179019,0.0,1.92763563398,59.677794845,0.0,0.0,58.7484791634,0.0,10.0,16.9768953133,66.6764689731,-83.4623807325,-7831776666.67,3.44613312721,49.6177226688,1.39439881155e+12,1.51542477718e+12,9766.44821368,35.4009304703,0.0,26.83,19.4567829763,62.3023344638,3.64908436875,139.382373992,-0.256392013703,0.0,1.38100966667e+11,2.38254514956,0.37399891443,8.71809232712,0.0,17.0262641482,60.0992516277,0.0,19.3557607549,69.847685268,42.0594315995,20.9378135325,51.1745499382,8.35874174363,32.2480304355,0.0,0.0,RUS,1.86676756876e+11,12.4114315257,Russian Federation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0
199,0.0,73.2494257533,33.89810183,0.0,0.726217918709,0.496223800236,1.82541440565,89.4453666667,0.0,143.242570599,6.0,0.0,0.0,0.0,-101433072.58,0.114299910089,17.0895824889,4627003898.88,4934161457.73,473.248486222,12.4487873632,0.145616184631,4.77179572609,4.9975531368,0.0,1.4335654279,14.1352638292,1.7003979321,85.3006188531,-600111946.774,52.4645581294,2.12529698858,395.297811107,0.0,34.3012545734,53.6531108067,1.4121909592,0.0,0.0,0.00473528980105,25.7746987859,40.7773131874,17.6895554266,13.0939541937,0.0,0.0,RWA,1375897554.28,30.6078919303,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sub-Saharan Africa,1
201,0.0,80.7375326985,2.64704195233,986.25,2.57364748377,49.0037011395,160.866429892,0.0,0.0,653.060737402,9.0,0.0,80.7936168595,-255.689649046,-31569091352.1,0.382625558924,0.454484134922,4.5495305878e+11,4.84049688889e+11,17013.1154379,61.6038022863,0.0,34.6666666667,9.92480429379,74.279949811,8.49923010179,137.850329071,0.0,-0.119027209656,1.55990879543e+11,7.21080796417,0.0404186967141,12.441461327,0.0,0.0,35.7491557614,0.0,0.0,114.239717015,0.0,0.0,91.9414298445,18.3788637432,26.4353724233,0.0,0.0,SAU,1.076016e+11,23.625289164,Saudi Arabia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Middle East & North Africa,1
202,0.0,57.4480920314,26.2471424621,0.0,1.20702798576,1.49557836528,0.0,35.7701,7.44815552492,0.0,6.0,35.0666783815,64.9333216185,-118.82926084,-1627932852.27,0.0,11.611045174,51191912654.5,60623259310.3,1170.90712151,29.53108413,0.212688693532,8.66,5.9357257989,0.0,0.0,28.4739005745,0.0,17.984522354,1442360133.33,9071.85833333,2.57290867696,18.3856151796,0.0,35.0666783815,44.2217734079,517.469839755,0.0,0.0,0.0,0.0,41.4017226833,5.64172032629,48.822180997,0.0,0.0,SDN,-515782237.624,-0.904963124787,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sub-Saharan Africa,-1
203,0.0,47.4661957444,15.6617628574,0.0,0.360826206828,0.0,0.0,71.3983333333,0.0,97.0738080216,11.0,7.80291280893,88.9347064367,50.1784075887,-262336555.819,0.912653589095,44.4242455721,12494647568.0,12074337504.3,1020.49092886,23.4441145491,0.463994652085,7.17,14.1484643111,0.0,1.66843003333,43.1208315309,3.72719853655,29.2882393284,-2628400273.59,117817.213115,10.7091902641,63.5546962378,0.0,9.43828560039,60.8941225928,10.7652045419,0.0,0.0,0.0,44.7554056126,72.4454526305,19.5758889815,15.3967990839,0.0,65.0149078369,SEN,1327084924.03,11.3528300187,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sub-Saharan Africa,0
204,0.0,1.05035971223,0.044203337691,0.0,6.15155896354,51.4124057581,872.499563791,0.0,0.0,2063.46559623,6.0,0.0,97.5219310909,98.1027355902,-956290334.431,14.503282509,23.4131551901,1.88205186006e+11,2.04777313287e+11,39174.0627575,28.1812855113,0.0,69.3,22.1452956398,229.178787204,3.80572729373,132.058835494,0.0,0.0,48992358314.6,390.14420583,0.0,6880.27595409,0.0,1.24062971509,71.774511151,0.0,0.0,158.46781939,0.0,23.7344352844,399.515070253,88.0233434012,18.0801975881,0.0,0.0,SGP,55157829116.2,27.2013770011,Singapore,1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,1
205,0.0,3.47743241634,0.0,0.0,0.0,6.4950302664,0.0,79.4263,0.0,0.0,0.0,0.0,0.0,0.0,-63600201.4536,1.16024118031,79.4640943194,574043017.084,634486416.268,1139.44816382,0.0,0.692328760019,3.0,0.0,0.0,0.0,5.9606681041,0.0,0.0,-79857897.5769,-97.2222222222,2.01475443831,17.9856139097,0.0,0.0,0.0,2.65317580967,0.0,0.0,0.0,0.0,104.691407107,27.8794254486,30.0215770715,0.0,0.0,SLB,165494552.343,26.8766558728,Solomon Islands,1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,1
206,0.0,51.431236723,56.1424813885,0.132625,0.523198740968,0.372120612844,7.15165537334,47.8256666667,0.0,88.1986938066,9.0,0.0,0.0,0.0,-88349025.0922,-0.0829157014799,38.3097811028,2384647180.36,2369293812.08,431.680587418,8.37910242271,0.183667287477,0.249944899515,2.45310547895,0.0,1.11710956462,17.7087350848,0.0,205.964489258,-219285695.65,280.789550234,1.42912619869,76.4761245036,0.0,55.2252242718,35.4784161888,4.03554634568,0.0,0.0,0.0,0.0,40.1149584016,7.63562807607,15.0539323011,0.0,0.0,SLE,715640044.638,31.785491991,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sub-Saharan Africa,1
